40.200491	116.179253	40.183415	116.161574	1
40.200491	116.179253	40.183997	116.191357	1
40.200491	116.179253	40.218981	116.230971	1
40.226655	116.226144	40.145755	116.302861	1
40.226655	116.226144	40.210773	116.239262	1
40.226655	116.226144	40.222097	116.220571	1
40.226655	116.226144	40.218981	116.230971	1
40.226655	116.226144	40.213888	116.221534	1
40.226655	116.226144	40.213869	116.234626	1
40.055072	116.313491	40.076948	116.302963	1
40.055072	116.313491	40.098774	116.302953	1
40.171594	116.244031	40.210773	116.239262	1
40.171594	116.244031	40.183997	116.191357	1
40.100662	116.276404	40.098981	116.285883	1
40.100662	116.276404	40.096239	116.272141	1
40.100662	116.276404	40.112621	116.289151	1
40.100662	116.276404	40.095381	116.283131	1
40.100662	116.276404	40.106016	116.276689	1
40.100662	116.276404	40.103275	116.284444	1
40.216718	116.216522	39.792501	116.486851	9
40.216718	116.216522	40.213888	116.221534	6
40.216718	116.216522	40.212898	116.228058	4
40.216718	116.216522	40.218981	116.230971	3
40.029814	116.317095	40.034031	116.319871	1
40.029814	116.317095	40.039607	116.316384	1
40.029814	116.317095	40.035833	116.309445	3
40.056215	116.327246	40.058111	116.330667	1
40.056215	116.327246	40.047312	116.333848	1
40.056215	116.327246	40.055791	116.324361	1
40.056215	116.327246	40.057821	116.340871	1
40.240347	116.117703	40.231194	116.118111	7
40.240347	116.117703	40.235611	116.124289	14
40.240347	116.117703	40.220667	116.239556	3
40.133908	116.260049	40.125971	116.252163	1
40.133908	116.260049	40.125517	116.261944	1
40.133908	116.260049	40.131848	116.266921	1
40.073638	116.310218	40.083291	116.322045	1
40.073638	116.310218	40.076948	116.302963	1
40.073638	116.310218	40.077062	116.325645	4
40.073638	116.310218	40.068287	116.333102	3
40.073638	116.310218	40.073022	116.316664	46
40.073022	116.316664	40.083291	116.322045	1
40.073022	116.316664	40.058111	116.330667	1
40.073022	116.316664	40.089172	116.302284	1
40.073022	116.316664	40.065611	116.322079	7
40.073022	116.316664	40.087491	116.324951	4
40.073022	116.316664	40.099121	116.338071	4
40.073022	116.316664	40.077062	116.325645	10
40.073022	116.316664	40.068287	116.333102	4
40.073022	116.316664	40.076948	116.302963	1
40.231194	116.118111	40.235611	116.124289	16
40.052918	116.369476	40.058111	116.330667	7
40.052918	116.369476	40.041361	116.373921	1
40.140561	116.262416	40.141792	116.258313	5
40.140561	116.262416	40.125517	116.261944	1
40.140561	116.262416	40.131848	116.266921	1
40.134251	116.252193	40.125517	116.261944	1
40.035833	116.309445	40.058111	116.330667	1
40.035833	116.309445	40.043501	116.298251	3
40.035833	116.309445	40.034978	116.306693	1
40.035833	116.309445	40.062711	116.295361	1
40.035833	116.309445	40.039607	116.316384	1
40.035833	116.309445	40.034031	116.319871	1
40.206013	116.223627	40.209889	116.228222	1
40.206013	116.223627	40.213888	116.221534	1
40.076948	116.302963	40.083291	116.322045	6
40.076948	116.302963	40.089172	116.302284	6
40.076948	116.302963	40.087389	116.300231	4
40.076948	116.302963	40.043761	116.285851	3
40.076948	116.302963	40.098774	116.302953	3
40.076948	116.302963	40.087491	116.324951	3
40.076948	116.302963	40.099121	116.338071	6
40.076948	116.302963	40.077062	116.325645	4
40.076948	116.302963	40.069228	116.299637	3
40.112621	116.289151	40.125517	116.261944	1
40.112621	116.289151	40.118531	116.267087	1
40.112621	116.289151	40.131848	116.266921	1
40.038109	116.323645	40.039607	116.316384	1
40.118531	116.267087	40.120147	116.254641	4
40.118531	116.267087	40.131848	116.266921	1
40.118531	116.267087	40.106016	116.276689	5
40.118531	116.267087	40.125517	116.261944	1
40.118531	116.267087	40.218981	116.230971	1
40.118531	116.267087	40.125971	116.252163	5
40.034261	116.358151	40.040439	116.349094	1
40.145939	116.252157	40.125517	116.261944	1
40.145939	116.252157	40.218981	116.230971	1
40.081833	116.294194	40.098774	116.302953	1
40.081833	116.294194	40.235611	116.124289	20
40.081833	116.294194	40.089172	116.302284	1
40.043501	116.298251	40.043761	116.285851	1
40.043501	116.298251	40.055121	116.307781	1
40.043501	116.298251	40.034579	116.288291	1
40.043501	116.298251	40.034031	116.319871	1
40.125517	116.261944	40.209278	116.216359	4
40.125517	116.261944	40.213888	116.221534	1
40.125517	116.261944	40.131848	116.266921	1
40.125517	116.261944	40.120147	116.254641	14
40.125517	116.261944	40.152972	116.298361	4
40.125517	116.261944	40.141792	116.258313	3
40.125517	116.261944	40.103275	116.284444	1
40.108971	116.268313	40.106016	116.276689	6
40.213869	116.234626	40.215364	116.240961	7
40.213869	116.234626	40.210773	116.239262	26
40.213869	116.234626	40.211233	116.239117	29
40.213869	116.234626	40.212442	116.246563	19
40.213869	116.234626	40.209278	116.216359	3
40.213869	116.234626	40.216783	116.256904	5
40.213869	116.234626	40.209889	116.228222	14
40.213869	116.234626	40.220667	116.239556	4
40.213869	116.234626	40.212647	116.251881	12
40.213869	116.234626	40.213888	116.221534	5
40.213869	116.234626	40.218981	116.230971	9
40.213869	116.234626	40.212898	116.228058	10
40.213869	116.234626	40.183412	116.232075	4
40.213869	116.234626	40.214867	116.247008	3
40.212898	116.228058	40.210773	116.239262	3
40.212898	116.228058	40.211233	116.239117	3
40.212898	116.228058	40.213888	116.221534	7
40.212898	116.228058	40.209889	116.228222	12
40.212898	116.228058	40.220667	116.239556	5
40.212898	116.228058	40.218981	116.230971	4
40.212647	116.251881	40.214867	116.247008	3
40.212647	116.251881	40.210773	116.239262	1
40.212647	116.251881	40.212442	116.246563	1
40.212647	116.251881	40.216783	116.256904	17
39.787638	116.493917	39.790501	116.483001	8
